	random	noun/verb	location	#1 String	#2 String	label
3040	pay	V	0-2	pay a call	You 'll pay for this !	F
3041	tolerate	V	13-3	I like the way he plays the guitar , but I ca n't tolerate his voice when he sings .	he learned to tolerate the heat	T
3042	time	N	3-1	See you another time ;    that 's three times he 's made the same mistake	this time he succeeded	T
3045	burn	V	4-2	He watched the house burn .	The sun burned his face	F
3046	keep	V	0-1	keep food for a week in the pantry	We kept the work going as long as we could	F
3047	enormity	N	5-3	in careful usage the noun enormity is not used to express the idea of great size	universities recognized the enormity of their task	T
3048	give	V	1-1	I give you two minutes to respond	I gave my coat to the beggar .	F
3050	howl	N	3-0	he gave a howl of pain	howls of laughter	T
3051	point	V	0-0	point a chimney	point the letter	F
3053	dish	N	4-4	marriage was scarcely his dish	she prepared a special dish for dinner	F
3054	degree	N	6-10	A right angle is a ninety degree angle .	Most humans have a field of vision of almost 180 degrees .	T
3056	remission	N	4-4	his cancer is in remission	Her cancer was in remission .	T
3057	application	N	1-1	the application of indexes to tables of data	the application of maximum thrust	T
3058	day	N	1-4	my day began early this morning	she called it a day and went to bed	T
3059	lay	V	1-4	To lay a tax on land	This hen does n't lay	F
3060	make	V	1-0	To make like a deer caught in the headlights .	make revolution	F
3061	question	N	1-3	the question of disease merits serious discussion	There was a question of which material to use .	T
3062	line	N	5-12	I ca n't follow your line of reasoning	The answer to the comprehension question can be found in the third line of the accompanying text .	F
3063	quarrel	N	5-3	We got into a silly quarrel about what food to order .	they had a quarrel	T
3064	support	N	6-6	the president no longer has the support of his own party	they developed a scheme of mutual support	T
3065	grade	N	4-0	He got a good grade on the test .	grade A milk	T
3066	spell	V	13-4	The letters “ a ” , “ n ” and “ d ” spell “ and ” .	I 'm afraid this spells trouble !	F
3067	leave	V	0-5	leave your child the nurse 's care	At her death , she left behind her husband and 11 cats	F
3068	tell	V	1-1	Please tell me how to do it .	I tell you that man is a crook !	T
3070	ball	N	1-1	the ball was already emptying out before the fire alarm sounded	the ball rolled into the corner pocket	F
3071	turn	V	0-0	turn the flour onto a plate	turn your dance partner around	F
3073	comfort	N	4-10	his friendship was a comfort	a padded chair was one of the room 's few comforts	T
3075	ball	N	6-1	the mayor threw out the first ball	the ball rolled into the corner pocket	T
3077	work	V	4-3	This dough does not work easily ;    the soft metal works well	My wife never worked	F
3079	air	N	6-7	a smell of chemicals in the air	The flock of birds took to the air .	T
3080	go	V	4-5	How does this song go again ?	These ugly billboards have to go !	F
3081	part	N	3-4	she played the part of Desdemona	We all have a part to play .	T
3083	feeder	N	2-2	a mud feeder	a bark feeder	T
3084	session	N	6-2	" Are we having a recording session ?  / "" Yes . We 've even got some session musicians to provide some brass . """	A training session	T
3086	make	V	0-1	make up a room	She made ten points in that game .	F
3087	ghetto	N	6-4	the relative security of the gay ghetto	no escape from the ghetto of the typing pool	T
3088	give	V	0-1	give priority to	He gave his life for his children	F
3089	range	N	6-5	We hiked through the Andes mountain range .	the valley was between two ranges of hills	T
3091	get	V	2-0	Let 's get down to work now	Get working as soon as the sun rises !	T
3092	ensure	V	4-2	This nest egg will ensure a nice retirement for us	The circumstances ensured a good outcome for him .	T
3093	cup	N	3-3	he drank a cup of coffee	he borrowed a cup of sugar	T
3094	double	N	5-7	he could be Gingrich 's double	Saddam Hussein was rumored to have many doubles .	T
3095	carry	V	2-3	These pipes carry waste water into the river	This train is carrying nuclear waste	T
3096	carry	V	1-1	I carry her image in my mind 's eye	I carry a lot of life insurance	T
3099	get	V	3-0	What do you get when you add up these numbers ?	get someone mad	F
3100	give	V	0-0	give the orders	Give him my best regards	T
3101	body	N	1-1	a body of precedents	a body of law	T
3102	follow	V	3-0	These people still follow the laws of their ancient religion	follow the road	F
3103	make	V	0-6	make lead into gold	You have to spend money to make money !	F
3104	look	N	5-5	I do n't like the look of the new design .	I do n't like the looks of this place	T
3105	field	N	8-5	A crop circle was made in a corn field .	they are outstanding in their field	F
3106	business	N	2-15	We do business all over the world .	He 's such a poor cook , I ca n't believe he 's still in business !	T
3107	find	V	0-1	find the product of two numbers	She found the time and energy to take care of her aging parents	F
3108	drive	V	0-0	drive the cows into the barn	drive the ball far out into the field	F
3110	action	N	2-2	the Union action of emancipating Southern slaves	recent federal action undermined the segregationist position	T
3111	start	V	1-2	I start at eight in the morning	The rain started at 9:00 .	F
3114	thing	N	4-1	it is a remarkable thing	this thing has got to end	T
3115	furniture	N	2-4	How much furniture did they leave behind ?	they had too much furniture for the small apartment	T
3116	make	V	0-1	make enemies	He made a fool of himself at the meeting	F
3117	hold	V	0-2	hold your breath	He 's held by a contract	F
3118	try	V	11-4	If you want to play varsity , you 'll have to try out for the team .	This approach has been tried with good results	T
3119	take	V	2-3	Do you take sugar in your coffee ?	A reading was taken of the earth 's tremors	F
3120	life	N	3-0	while there 's life there 's hope	life depends on many chemical and physical processes	T
3123	connect	V	4-3	The new railroad will connect the northern part of the state to the southern part .	This computer will connect well to the network .	T
3125	cut	V	0-0	cut bourbon	Cut the engines when the plane comes to a halt !	F
3127	mine	N	5-6	This diamond comes from a mine in South Africa .	He came out of the coal mine with a face covered in black .	T
3128	safety	N	3-4	He ran to safety	Be sure that the safety is set before proceeding .	F
3129	guard	V	0-0	guard against infection	guard against becoming too friendly with the staff	T
3130	know	V	1-1	I know it 's time	He knows about 19th century politics .	T
3131	translate	V	3-1	I have to translate when my in - laws from Austria visit the U.S.	Braque translated collage into oil	F
3132	make	V	0-0	make a dress	make enemies	F
3133	sport	N	2-2	a good sport	a poor sport	T
3134	trade	N	7-3	they are accused of conspiring to constrain trade	they rode the trade winds going west	F
3137	key	N	1-1	The key to winning a game	the key to development is economic integration	T
3138	shoot	V	0-0	shoot a goal	shoot a basket	T
3139	side	N	9-4	he turned the box over to examine the bottom side	A cube has six sides .	T
3140	push	V	2-1	` Now push hard , ' said the doctor to the woman	He pushed her to finish her doctorate	F
3141	open	V	2-1	The bedrooms open into the hall	He opened the meeting with a long speech	F
3142	key	N	1-1	The key to solving this problem is persistence .	the key to development is economic integration	T
3143	develop	V	1-1	Please develop this roll of film for me	They developed a new technique	F
3145	authority	N	6-2	She lost all her respect and authority after turning up drunk to the meeting .	Tennessee Valley Authority	F
3146	make	V	3-2	This invention will make you a millionaire	This wool makes into a nice sweater	F
3147	cut	V	0-5	cut a ticket	Cut orders ;    cut a check	T
3148	convert	V	0-1	convert lead into gold	He converted his garden into a tennis court .	T
3149	go	V	5-1	The washing machine wo n't go unless it 's plugged in	She went through a lot of trouble	F
3150	flatten	V	14-0	As there was a lot of damage , we chose the heavy roller to flatten the pitch .	flatten your stomach with these exercises	T
3152	time	N	4-1	I did n't have time to finish	take time to smell the roses	T
3153	break	V	0-0	break a circuit	break down a proof	F
3154	forefront	N	6-6	That laboratory researches topics at the forefront of technology .	the Cotswolds were once at the forefront of woollen manufacturing in England	T
3156	go	V	4-2	His knowledge does n't go very far	This property goes all the way to the state line .	T
3157	channelize	V	0-0	channelize a stream	channelize the country for better transportation	F
3158	experience	N	3-3	he recalled the experience vividly	It was an experience he would not soon forget .	T
3159	see	V	3-2	I want to see results	Could you see about lunch ?	F
3161	par	N	7-0	He needs to make this shot for par .	par for this course is 72	T
3162	sectarianism	N	3-3	he condemned religious sectarianism	They were discussing sectarianism between Shias and Sunnis .	T
3163	set	V	0-1	set the table	To set glass in a sash	F
3164	hold	V	0-4	hold your temper	The illegal immigrants were held at a detention center	F
3165	queen	N	1-3	the queen of ocean liners	Paris is the queen of cities	T
3166	run	N	3-6	I have a run in my stocking .	The bus on the Cherry Street run is always crowded .	F
3167	language	N	1-3	the language introduced is standard throughout the text	he taught foreign languages	T
3168	audience	N	4-4	every artist needs an audience	the broadcast reached an audience of millions	T
3169	know	V	2-1	Do you know my sister ?	We know this movie	T
3170	get	V	3-1	You need to get permission to leave early .	He got 5 years in prison	T
3171	touch	N	3-5	he has a touch of rheumatism	this piano has a wonderful touch	F
3172	use	N	4-5	he warned against the use of narcotic drugs	ballet is beautiful but what use is it ?	F
3173	place	N	3-5	he lost his place on the page	a political system with no place for the less prominent groups	F
3175	head	N	1-4	the head of the column advanced boldly	they were at the head of the attack	T
3176	voice	N	6-3	After the fire a still small voice . — 1 Kings 19:12	conservatism has many voices	F
3177	shake	V	0-2	shake one 's head	He was shaken from his dreams	F
3178	quality	N	10-14	Membership of this golf club is limited to those of quality and wealth .	While being impulsive can be great for artists , it is not a desirable quality for engineers .	F
3179	trust	V	2-1	do n't trust my ex - wife	I trust you will behave better from now on	F
3180	time	N	1-4	this time he succeeded	When was the last time we went out ? I do n't remember .	T
3181	remove	V	0-1	remove a threat	Doug removed the smudges from the tabletop .	T
3182	give	V	0-0	give priority to	Give bond	F
3183	serve	V	1-2	We serve meals for the homeless	The entertainers served up a lively show	T
3184	break	V	2-1	Nobody can break out -- this prison is high security	They broke into my car and stole my radio !	F
3186	hit	V	3-1	The temperature could hit 110 F tomorrow .	I hit the jackpot .	T
3187	catch	N	2-5	he played catch with his son in the backyard	The kids love to play catch .	T
3188	cycle	N	4-1	the never - ending cycle of the seasons	The cycle of the seasons , or of the year	T
3190	come	V	0-1	come out of the closet !	He came from France .	T
3191	tendency	N	3-3	fabric with a tendency to shrink	Denim has a tendency to fade .	F
3192	carry	V	3-7	He can not carry a tune	he had drunk more than he could carry	F
3193	break	V	0-3	break a record	I had to break a $ 100 bill just to buy the candy	F
3198	break	V	8-1	My daughter 's fancy wedding is going to break me !	Voices broke in the air	F
3199	head	N	4-1	matters came to a head yesterday	200 head of cattle and 50 head of horses	F
3200	call	V	4-4	Take two aspirin and call me in the morning	Why do n't you call me in the morning ?     Why do n't you call tomorrow ?	T
3201	third	N	3-6	He ate a third of the pie . Divided by two - thirds .	a simple harmony written in major thirds	T
3202	lot	N	3-0	has a happy lot	lots of people think so	F
3203	carry	V	0-1	carry too far	He carried himself upright	F
3204	take	V	0-0	take shelter from the storm	Take a test	F
3205	scene	N	5-3	the police returned to the scene of the crime	he made a scene	F
3206	head	N	5-1	the beer had a large head of foam	"the head of the nail "" , "" a pinhead is the head of a pin"	F
3208	take	V	0-4	take a scene	This surface will not take the dye	F
3209	head	N	1-7	a head of steam	We will consider performance issues under the head of future improvements .	F
3211	habit	N	4-3	It 's become a habit of mine to have a cup of coffee after dinner .	it was their habit to dine at 7 every evening	T
3214	stay	V	1-9	To stay a flat sheet in a steam boiler	After the trial period , she was asked to stay on and work full - time .	F
3215	hold	V	1-2	I hold him personally responsible	The bridge held	F
3217	habit	N	3-4	she had a habit twirling the ends of her hair	a shrub of spreading habit	F
3218	pain	N	5-5	Your mother is a right pain .	that kid is a terrible pain	T
3219	smile	N	4-5	He always puts a smile on my face .	She 's got a perfect smile .	T
3220	sport	N	2-2	a poor sport	a good sport	T
3221	pay	V	3-1	Crime does n't pay ;     it will pay to wait	He paid me 5000 pounds for the car .	F
3222	make	V	3-0	This invention will make you a millionaire	Make yourself clear	T
3223	puncture	V	0-2	puncture a tire	The tire punctured	F
3224	score	N	3-1	he studied the score of the sonata	a score were sent out but only one returned	F
3225	formation	N	1-2	the formation of sentences	a defensive formation	F
3227	work	V	3-0	I can not work a miracle .	Work out your problems with the boss	F
3228	pay	V	0-0	pay an obligation	pay a debt	T
3229	explosion	N	1-1	the explosion was heard a mile away	an explosion of rage	F
3230	make	V	4-1	How much do you make a month in your new job ?	She makes more than he does , and works longer hours than he does , but she still does most of the house - cleaning .	T
3232	impact	N	5-6	the book had an important impact on my thinking	His friend 's opinion had an impact on his decision .	T
3233	dress	V	3-1	we had to dress quickly	Marlene dressed the baby .	T
3234	run	N	2-4	a daily run of 100,000 gallons of paint	Yesterday we did a run of 12,000 units .	T
3235	unit	N	1-4	a unit of wheat is a bushel	The centimetre is a unit of length .	T
3236	drop	V	0-2	drop a hint	The light dropped from the ceiling	F
3237	shift	V	4-0	We 'll have to shift these boxes to the downtown office .	shift the emphasis	T
3238	sum	N	4-2	he borrowed a large sum	A tidy sum	T
3239	make	V	0-5	make a decision	Again , the cat had made on the expensive rug	F
3241	break	V	0-0	break the code	break a lucky streak	F
3245	go	V	5-2	The washing machine wo n't go unless it 's plugged in	The day went well until I got your call	F
3246	cure	V	0-0	cure resin	cure cement	T
3247	take	V	0-0	take an opportunity	take sick	F
3249	touch	N	10-3	With the lights out , she had to rely on touch to find her desk .	only sight and touch enable us to locate objects in the space around us	T
3250	mine	N	5-9	This diamond comes from a mine in South Africa .	Most coal and ore comes from open - pit mines nowadays .	T
3251	work	V	5-2	This old radio does n't work anymore	I will work hard to improve my grades	F
3252	power	N	1-2	the power of his love saved her	the deterrent power of nuclear weapons	T
3253	carry	V	4-2	this land does not carry olives	The senator carried his home state	F
3254	persuasion	N	5-3	I am not of your persuasion	It is his persuasion that abortion should never be condoned .	T
3255	order	N	5-12	I gave the waiter my order	the company 's products were in such demand that they got more orders than their call center could handle	T
3257	set	N	1-1	a set of books	a set of teeth	T
3258	silence	N	3-4	he gestured for silence	there was a shocked silence	T
3259	empathize	V	5-4	You 've really got to empathize with what they want .	You really have to empathize .	T
3260	lock	V	10-2	The therapist noticed that the patient 's knees tended to lock in this exercise	The parents locked her daughter up for the weekend	F
3262	make	V	0-0	make clay into bricks	make a fire	F
3263	difference	N	5-8	his support made a real difference	It just wo n't make much of a difference to anyone .	T
3264	play	V	0-1	play with her feelings	He plays on three teams ;    who 's playing now ?	F
3265	run	V	0-2	run a subject	Musical talent runs in the family	F
3266	play	V	2-0	I 'll play you my favorite record	play with her feelings	F
3267	clean	V	0-0	clean grain before milling it	Clean the spots off the rug	F
3268	break	V	3-2	Did you two break the trolley by racing with it ?	The horses broke from the stable	F
3269	stop	V	4-2	Soon the rain will stop .	The riots stopped when police moved in .	T
3272	split	N	6-8	he inserted the wedge into a split in the log	they announced a two - for - one split of the common stock	F
3273	move	V	1-1	To move in a matter	She moved the queen closer to the centre of the board .	F
3274	bit	N	1-7	a bit of lint	the horse was not accustomed to a bit	F
3276	key	N	1-4	The key to winning a game	they were carrying two keys of heroin	F
3277	come	V	0-3	come into contact with a terrorist group	your wish will come true	T
3278	draft	N	4-7	they served beer on draft	He left the country to avoid the draft .	F
3279	live	V	2-1	Can you live on $ 2000 a month in New York City ?	I lived through two divorces	F
3280	extend	V	0-2	extend a hand	My land extends over the hills on the horizon	F
3282	development	N	1-2	the development of his ideas took many years	the slow development of her skill as a writer	T
3283	hit	V	1-1	We hit Detroit by noon	Jones hit for the pitcher .	T
3284	class	N	15-1	Apologizing for losing your temper , even though you were badly provoked , showed real class .	the class of ' 97	F
3285	hegemony	N	12-7	to say they have priority is not to say they have complete hegemony	the consolidation of the United States ' hegemony over a new international economic system	T
3286	come	V	0-2	come out of the closet !	The bill came to $ 2,000	F
3287	draw	V	0-4	draw a conclusion	He spent the day drawing in the garden	F
3288	line	N	4-3	he got out of line	drop me a line when you get there	F
3289	rub	V	0-1	rub my hands	I rubbed the cloth over the glass .	T
3290	cut	V	0-0	cut a dress	cut grain	F
3291	grain	N	1-1	A grain of salt	A grain of sand	T
3292	time	N	4-4	they had a good time together	We had a wonderful time at the party .	T
3293	deal	N	5-7	We need to finalise the deal with Henderson by midnight .	he 's a master of the business deal	T
3295	hand	N	2-1	a ranch hand	Her hands are really strong .	F
3296	come	V	0-8	come into the room	I was standing on the corner when Nick came up and asked for a cigarette .	T
3297	sense	N	1-1	A sense of security	a sense of self	T
3298	make	V	3-0	They hope to make a bigger profit	make a fire	F
3299	mystery	N	6-7	how it got out is a mystery	The truth behind the events remains a mystery .	T
3300	draw	V	0-1	draw on a cigarette	She drew $ 2,000 from the account	F
3301	top	N	3-5	he removed the top of the carton	the mower cuts off the tops of the grass	F
3303	do	V	3-0	What makes her do this way ?	Do my room in blue	F
3304	line	N	12-2	` let me show you my etchings ' is a rather worn line	a nice line of shoes	F
3305	snap	V	0-1	snap your fingers	To snap a whip	T
3306	make	V	1-0	I make the height about 100 feet	make water into wine	F
3309	go	V	4-2	How does this song go again ?	Messages must go through diplomatic channels	F
3310	catch	V	2-3	did you catch that allusion ?	I have to catch a train at 7 o'clock	F
3311	make	V	2-1	He will make a fine father	He makes a great host	T
3313	raise	V	0-6	raise a family	We visited a farm where they raise chickens .	T
3314	run	V	2-2	Do n't run that software unless you have permission . '	The book runs 655 pages .	F
3315	fire	N	0-4	fire was one of our ancestors ' first discoveries	We sat around the fire singing songs and telling stories .	T
3318	hand	N	3-1	on the one hand ... , but on the other hand ...	all hands on deck	F
3319	stretch	V	0-2	stretch out that piece of cloth	I always stretch my muscles before exercising .	F
3320	furniture	N	3-6	A chair is furniture . Sofas are also furniture .	there was only one piece of furniture in the room	T
3321	bankruptcy	N	1-1	intellectual bankruptcy	spiritual bankruptcy	T
3322	spill	V	0-3	spill the milk	The former employee spilled all the details	F
3323	view	N	5-6	they were soon out of view	consider what follows from the positivist view	F
3324	point	N	3-2	get to the point	at that point I had to leave	F
3325	go	V	10-5	This violinist is as good as Juilliard - trained violinists go	It 's your turn ; go .	F
3326	have	V	3-1	Look what I have here — a frog I found on the street !	He had a cold last week .	F
3327	hold	V	1-0	I hold to these ideas	hold your tongue	F
3328	see	V	7-1	He is blind -- he can not see	I saw him laughing .	T
3329	form	N	3-9	sculpture is a form of art	To apply for the position , complete the application form .	F
3330	mean	V	9-9	The sky is red this morning — does that mean we 're in for a storm ?	I 'm afraid I do n't understand what you mean .	T
3331	take	V	0-1	take a scene	He took to visiting bars	F
3332	formation	N	2-1	a defensive formation	a formation of planes	T
3333	age	N	5-2	we live in a litigious age	The Bronze Age was followed by the Iron Age ;    the Tithonian Age was the last in the Late Jurassic epoch	T
3334	fatigue	N	5-5	the soldiers were put on fatigue to teach them a lesson	they were assigned to kitchen fatigues	T
3336	shock	N	8-5	loss of blood is an important cause of shock	electricians get accustomed to occasional shocks	F
3337	sophisticate	V	11-3	Yet Butler professes to stick to plain facts , not to sophisticate , not to refine . — M. Arnold .	Their manners had sophisticated the young girls	F
3338	flap	N	4-1	he wrote on the flap of the envelope	The flap of a sail ;    the flap of a wing	T
3339	plug	V	0-3	plug the wall	He attempted to plug the leaks with some caulk .	F
3340	guard	V	0-0	guard against becoming too friendly with the staff	guard against infection	T
3341	begin	V	0-2	begin a cigar	My property begins with the three maple trees	F
3342	give	V	0-2	give the orders	Can I give you my keys while I go in the pool ?	F
3343	take	V	0-0	take action	take steps	T
3344	tease	V	0-2	tease wool	The children teased the new teacher	F
3345	movement	N	2-7	The labor movement has been struggling in America since the passage of the Taft - Hartley act in 1947 .	he was a charter member of the movement	T
3346	give	V	2-1	I 'll give you three books for four CDs	She gave the boy a good spanking	F
3347	operation	N	2-5	a multinational operation	a large - scale farming operation	T
3348	correct	V	4-0	engineers will work to correct the effects or air resistance	Correct the mistakes	F
3349	call	V	4-3	Take two aspirin and call me in the morning	The ship will call in Honolulu tomorrow	F
3350	precede	V	2-1	Stone tools precede bronze tools	Bill preceded John in the long line of Susan 's husbands	F
3351	slot	N	5-4	he followed the deer 's slot over the soft turf to the edge of the trees	the PC had three slots for additional memory	F
3352	krona	N	4-8	Piecas kronas — five krona	Kronas kurss — the exchange rate of the krona	T
3353	make	V	0-0	make an effort	make a move	F
3354	think	V	1-1	I think he is very smart	I think that he is her boyfriend	T
3355	play	N	4-5	there was too much play in the steering wheel	the coach drew up the plays for her team	F
3356	know	V	1-2	I know him under a different name	Do you know my sister ?	T
3357	shape	V	0-0	shape the dough	shape a figure	F
3358	make	V	0-0	make an effort	make revolution	T
3359	breath	N	3-4	The child 's breath came quickly and unevenly .	he took a deep breath and dived into the pool	T
3360	call	V	3-6	The ship will call in Honolulu tomorrow	A transmitter in Samoa was heard calling	F
3361	play	V	0-0	play with her feelings	Play cowboy and Indians	F
3362	head	N	2-3	under the head of minor Roman poets	They shot 20 head of quail	F
3364	rotation	N	1-8	crop rotation makes a balanced demand on the fertility of the soil	The medical resident finished a two - week rotation in pediatrics and began one in orthopaedics .	T
3366	support	N	6-3	the president no longer has the support of his own party	The government provides support to the arts in several ways .	T
3367	system	N	5-1	he tried to understand their system of classification	the system consists of a motor and a small computer	F
3369	admit	V	1-3	To admit evidence in the trial of a cause	We can not admit non - members into our club building	T
3371	wall	N	1-1	the wall followed the road	stomach walls	F
3372	round	N	4-4	They brought us a round of drinks about every thirty minutes .	he ordered a second round	T
3373	rest	N	6-7	I need to get a good rest tonight ; I was up late last night .	the gun was steadied on a special rest	F
3374	wreck	N	8-4	thanks to that quack I am a human wreck	the house was a wreck when they bought it	T
3375	crack	V	1-6	To crack a whip	The performance was fine until he cracked that dead baby joke .	F
3377	come	V	1-1	Melons come from a vine	Understanding comes from experience	T
3379	work	V	0-4	work the raisins into the dough	Do you want to work after the age of 60 ?	F
3380	play	V	4-1	This speech did n't play well with the American public	I played no role in your dismissal	F
3382	plug	V	3-0	He attempted to plug the leaks with some caulk .	plug the hole	T
3383	admit	V	1-1	To admit a serious thought into the mind	To admit evidence in the trial of a cause	T
3385	wallah	N	2-2	the book wallah	a kitchen wallah	T
3386	fall	V	0-2	fall into a category	silly phrases fell from her mouth	F
3387	drag	V	2-0	do n't drag me into this business	drag this icon to the lower right hand corner of the screen	F
3388	school	N	2-8	stay after school	he did n't miss a single day of school	T
3390	normalize	V	9-0	There is little hope that the two countries will normalize relations ; their governments seem to hate each other and would just as soon stay on bad terms .	normalize the spelling	T
3392	reaction	N	2-12	a bad reaction to the medicine	When I last tried to eat strawberries I had a terrible allergic reaction .	T
3394	take	V	3-3	How should I take this message ?	You ca n't take credit for this !	T
3397	charge	N	4-4	The child was a charge of the nanny .	the teacher led her charges across the street	T
3398	area	N	1-3	the area of a rectangle	the spacious cooking area provided plenty of room for servants	F
3400	sense	N	1-5	Common sense is not so common	fortunately she had the good sense to run away	T
3401	play	V	2-0	Let 's play like I am mommy	Play cowboy and Indians	T
3402	grain	N	5-1	he does not have a grain of sense	a grain of sand	F
3403	treatment	N	1-11	A treatment or cure is applied after a medical problem has already started .	The change is due largely to the increased availability of antiretroviral treatment .	T
3404	pound	V	0-3	pound the roots with a heavy flat stone	My heart is pounding .	F
3405	break	V	5-1	The book dealer would not break the set	he broke the news to her	F
3406	stick	N	1-1	a stick of dynamite	cinnamon sticks	T
3408	analyze	V	0-0	analyze a specimen	analyze a sentence	T
3409	make	V	0-3	make a mistake	This invention will make you a millionaire	F
3410	make	V	3-7	This invention will make you a millionaire	It was n't the problem some people made it	F
3411	translate	V	4-1	The renowned director could translate experience to film with ease .	Braque translated collage into oil	T
3412	head	N	1-1	200 head of cattle	the head of the humerus	F
3413	communicate	V	2-12	Do you communicate well with your advisor ?	I feel I hardly know him ; I just wish he 'd communicate with me a little more .	T
3414	go	V	6-1	How fast does your new car go ?	We went without water and food for 3 days	F
3416	take	V	0-2	take a risk	The story took a new turn	F
3417	spring	N	6-0	You can visit me in the spring , when the weather is bearable .	Spring is the time of the year most species reproduce .	T
3418	raise	V	0-1	raise a sad cry	To raise somebody to office	F
3419	take	V	0-0	take action	Take a swipe at one 's opponent	F
3422	play	V	0-0	play the casinos in Trouville	play the stock market	F
3424	break	V	0-0	break a lucky streak	break a branch from a tree	F
3425	block	V	0-0	block the wheels of a car	Block his election	F
3427	part	N	2-3	the rear part of the house	glue the two parts together	T
3428	run	N	4-4	He can have the run of the house .	the ship made its run in record time	F
3429	drop	V	0-3	drop him from the Republican ticket	shop til you drop	F
3430	disposition	N	4-3	a swelling with a disposition to rupture	Salt has a disposition to dissolve in water .	F
3432	make	V	0-1	make lead into gold	He made as if to punch him , but they both laughed and shook hands .	F
3433	vault	N	9-7	The bank kept their money safe in a large vault .	Family members had been buried in the vault for centuries .	T
3434	strike	V	0-2	strike coins	A bullet struck him .	F
3435	use	V	2-0	We can use this mathematical formula to solve the problem .	use your head !	T
3436	cut	N	3-4	everyone got a cut of the earnings	The lawyer took a cut of the profits .	T
3437	carry	V	4-2	this land does not carry olives	These bonds carry warrants	F
3438	side	N	6-2	they always sat on the right side of the church	the Confederate side was prepared to attack	F
3439	swimsuit	N	15-3	Jade refused to go swimming with her brother until he helped her find her favorite swimsuit .	Put on your swimsuit and let 's go for a swim .	T
3440	impression	N	4-5	he made a good impression	I wanted to create an impression of success	T
3441	border	N	2-1	A solid border around a table of figures	The border between Canada and USA is the longest in the world .	F
3442	shame	N	3-13	one mistake brought shame to all his family	When I realized that I had hurt my friend , I felt deep shame .	T
3443	stopover	N	3-3	they made a stopover to visit their friends	there is a stopover to change planes in Chicago	F
3444	come	V	2-0	The sleeves come to your knuckles	come into the room	F
3445	strike	V	1-0	Please strike this remark from the record	strike a pose	F
3446	make	V	0-0	make advances	make a phone call	T
3447	word	N	4-3	I give you my word that I will be there on time .	he gave his word	T
3448	quarter	N	3-6	it 's a quarter til 4	the wind is coming from that quarter	F
3449	chain	N	1-5	the chain of command	This led to an unfortunate chain of events .	T
3450	draw	V	7-2	A ship 's sail is said to draw when it is filled with wind .	The nurse drew blood	F
3451	now	N	6-5	There is no better time than now .	it worked up to right now	T
3453	spend	V	0-1	spend money	I spent the time on worrying about the future .	F
3454	despite	N	1-5	the despite in which outsiders were held is legendary	she wanted neither favor nor despite	F
3457	bit	N	7-1	the horse was not accustomed to a bit	a bit of lint	F
3458	wander	V	1-1	To wander over the fields	the wandering Jew	T
3460	length	N	3-1	he determined the length of the shortest line segment joining the two points	a length of tubing	F
3461	fall	V	0-1	fall by the wayside	Christmas falls on a Monday this year	F
3462	divinity	N	5-1	ancient Egyptians believed in the divinity of the Pharaohs	Harvard Divinity School has been teaching theology since 1636 .	F
3464	snorter	N	6-5	The maths problem is a real snorter , is n't it ?	The batsman succumbed to a snorter of short balls from the bowler and nicked a thin edge to the keeper .	F
3465	make	V	3-1	four and four make eight	They made nice together , as if their fight never happened .	F
3466	carry	V	1-2	I carry these thoughts in the back of my head	This paper carries a restaurant review	F
3467	make	V	0-2	make an effort	He will make a splendid father !	F
3468	title	N	2-1	A good title to an estate , or an imperfect title	his title to fame	F
3470	start	V	1-0	To start a stream of water ;    to start a rumour ;    to start a business	start a new job	F
3471	quality	N	14-1	While being impulsive can be great for artists , it is not a desirable quality for engineers .	"the quality of mercy is not strained ""-- Shakespeare"	T
3472	break	V	10-1	If the vase falls to the floor , it might break .	Twigs break off of those branches easily .	F
3473	analyze	V	0-0	analyze a sentence	analyze a chemical compound	T
3474	rank	N	6-5	his salary was determined by his rank and seniority	the entrance was guarded by ranks of policemen	F
3476	erase	V	1-2	Please erase the formula on the blackboard -- it is wrong !	The Turks erased the Armenians in 1915	F
3478	run	V	0-2	run a process	Interest rates run from 5 to 10 percent	F
3479	course	N	1-5	the course of the river	the government took a firm course	F
3481	count	V	2-5	Can you count the books on your shelf ?	There are three apples ; count them .	T
3482	beat	V	0-0	beat the subway fare	beat the table with his shoe	F
3483	draw	V	0-0	draw the curtains	draw a conclusion	F
3484	remember	V	2-3	Do you remember that he once loved you ?	I ca n't remember saying any such thing	T
3485	vote	N	11-4	The Supreme Court upheld the principle of one person , one vote .	they allowed just one vote per person	T
3486	take	V	1-0	We take all major credit cards .	take a pulse	F
3487	cut	V	0-2	cut a disk	The boat cut the water	F
3488	run	N	3-2	she got a run in her stocking	his daily run keeps him fit	F
3489	run	V	0-1	run a subject	She ran 10 miles that day	F
3490	rest	V	0-4	rest assured	The blame seems to rest with your father .	T
3492	take	V	0-0	take vengeance	take action	T
3494	leave	N	4-3	a ten day 's leave to visit his mother	she was granted leave to speak	F
3495	sense	N	1-5	Common sense is not so common	he has n't got the sense God gave little green apples	T
3496	education	N	4-8	he received no formal education	A good teacher is essential for a good education .	T
3498	strike	V	0-1	strike a medal	she struck her head on the low ceiling	F
3499	make	V	0-0	make a wall of stones	make an effort	F
3500	term	N	7-1	he left school before the end of term	The term allowed to a debtor to discharge his debt	T
