random	noun/verb	location	#1 String	#2 String
appear	V	3-1	He had to appear in court last month	She appeared on several charges of theft
figure	N	4-4	he cut a fine figure	He cut a sorry figure standing there in the rain .
lead	N	9-3	we were just waiting for someone to take the lead	he takes the lead in any group
take	V	4-1	Tomorrow the doctor will take the cast off her arm .	Mother took our plates away and came back with some fruit for us to eat .
hang	V	0-0	hang the venison for a few days	Hang one 's head in shame
roof	N	4-1	I could see the roof of the bear 's mouth	the roof of the cave was very high
company	N	5-7	the house was filled with company when I arrived	Keep the house clean ; I have company coming .
price	N	1-4	the price of gasoline	I paid a high price for my folly .
shortness	N	3-2	there was no shortness of money	can cause shortness of breath
know	V	1-1	I know that I left the key on the table	Galileo knew that the earth moves around the sun
funny	N	3-3	she told a funny story	she made a funny
lob	V	0-2	lob the tennis ball	The guard lobbed a pass just over the defender .
mean	V	1-1	I mean to go to Baddeck this summer .	I meant to take the car in for a smog check , but it slipped my mind .
make	V	0-1	make a move	He made twenty bucks playing poker last night .
sequence	N	1-7	the sequence of names was alphabetical	he invented a technique to determine the sequence of base pairs in DNA
go	V	5-5	These luxuries all had to go under the Khmer Rouge	These ugly billboards have to go !
number	N	7-1	I hope to become one of their number before I die	the number of parameters is small
give	V	0-0	give homage	Give a gulp
fall	V	4-2	The hills around here fall towards the ocean	The estate fell to my sister
make	V	0-4	make one 's way into the forest	How much do you make a month in your new job ?
see	V	3-2	How nice to see you again !	I must see your passport before you can enter the country
past	N	13-2	A book about a time machine that can transport people back into the past	forget the past
point	V	0-2	point a chimney	The gun points with ease
deal	N	4-5	it was a package deal	We need to finalise the deal with Henderson by midnight .
appearance	N	4-5	David Beckham 's first appearance with the LA Galaxy at Giants Stadium against the New York Red Bulls last night drew a crowd of 66237 .	the rookie made a brief appearance in the first period
extend	V	0-0	extend the casserole with a little rice	extend the TV antenna
line	N	2-4	a nice line of shoes	they were arrayed in line of battle
draft	N	4-2	they served beer on draft	His first drafts were better than most authors ' final products .
peak	N	5-1	The stock market reached a peak in September 1929 .	voltage peak
courage	N	5-5	" A great part of courage is the courage of having done the thing before . " —Ralph Waldo Emerson	It takes a lot of courage to be successful in business .
wash	N	14-4	at the end of the year the accounting department showed that it was a wash	My jacket needs a wash .
admit	V	1-1	To admit a serious thought into the mind	She admitted us here .
rock	N	12-3	While we 're in Brighton , let 's get a stick of rock !	he threw a rock at me
hyponym	N	4-3	" A is a hyponym of B " means that " A is a type of B. "	Dog is a hyponym of animal .
coverage	N	6-3	they accused the paper of biased coverage of race relations	There are overlapping coverages on your insurance policies .
address	N	6-6	he failed in his manner of address to the captain	A man of pleasing or insinuating address
origin	N	4-1	the rumor had its origin in idle gossip	vegetable origins
history	N	7-0	a critical time in the school 's history	History repeats itself if we do n't learn from its mistakes .
turn	V	0-0	turn your palm this way	turn the clay on the wheel
unit	N	2-8	change per unit volume	He was a member of a special police unit .
stuff	N	5-4	the trunk was full of stuff	What is all that stuff on your bedroom floor ?
play	N	8-1	insiders said the company 's stock was in play	the play of light on the water
make	V	0-0	make enemies	make friends
toy	V	0-1	toy with an idea	To toy with a piece of food on one 's plate
arouse	V	1-1	To arouse compassion	To arouse jealousy
return	N	12-2	his gross income was enough that he had to file a tax return	on his return from Australia we gave him a welcoming party
accept	V	6-0	The Boy Scouts were going to accept him as a member .	accept students for graduate study
have	V	1-3	I have two years left	I do n't have any money left
pull	N	5-1	Iron fillings drawn by the pull of a magnet	the pull of the current
way	N	4-4	did n't know the way home	if I had my way
give	V	0-0	give a divorce	give the orders
time	N	4-7	he waited a long time	he was a great actor in his time
head	N	4-5	matters came to a head yesterday	Admission is three dollars a head .
recognition	N	4-1	The law was a recognition of their civil rights .	the recognition of the Rio Grande as a boundary between Mexico and the United States
make	V	0-4	make merry	This company is what made you .
finish	N	3-7	The car 's finish was so shiny and new .	he applied a coat of a clear finish
run	V	5-3	I 'm not ready to run a marathon .	let the dogs run free
water	V	4-1	I need to go water the cattle .	We watered the buffalo
life	N	1-1	city life	social life
rotation	N	1-9	crop rotation makes a balanced demand on the fertility of the soil	the manager had only four starting pitchers in his rotation
door	N	3-4	he slammed the door as he left	he knocked on the door
pull	V	0-2	pull a bank robbery	the car pulls to the right
go	V	2-0	Messages must go through diplomatic channels	go about the world in a certain manner
life	N	13-4	Having experienced both , the vampire decided that he preferred ( un)death to life .	He gave up on life .
case	N	2-1	The accusative case canonically indicates a direct object .    Latin has six cases , and remnants of a seventh .	a case of the jitters
take	V	2-1	I 'll take a pound of that sausage	She took up her position behind the tree
industry	N	1-2	American industry is making increased use of computers to control production	frugality and industry are still regarded as virtues
give	V	0-2	give a course	I 'll give you three books for four CDs
take	V	2-2	I 'll take that plate off the table .	We are taking an orphan from Romania
job	N	8-4	estimates of the city 's loss on that job ranged as high as a million dollars	I 've got a job for you - could you wash the dishes ?
head	N	3-5	She gave great head .	they say he gives good head
hand	N	3-2	on the one hand ... , but on the other hand ...	A good hand
defense	N	0-6	defense against hurricanes is an urgent problem	a good boxer needs a good defense
smile	N	4-3	He has a sinister smile .	She had a smile on her face .
crack	N	4-3	Open the door a crack .	there was a crack in the mirror
business	N	4-0	show me where the business was today	Business has been slow lately .
charge	N	5-2	he was arrested on a charge of larceny	the admission charge
construction	N	4-5	He had worked in construction all his life .	I concluded from his awkward constructions that he was a foreigner
patch	N	6-3	I lost my locket in this patch of grass here .	Does n't that patch of clouds looks like a bunny ?
do	V	3-2	What does Bob do ? — He 's a plumber .	This car does 150 miles per hour
connect	V	4-4	The planes do n't connect and you will have to wait for four hours	Operator , could you connect me to the Raffles in Singapore ?
bit	N	4-1	I gave him a bit of my mind	a bit of lint
freshen	V	5-1	I 'm going to go freshen up .	She freshened up after the tennis game
make	V	1-0	I make the height about 100 feet	make an effort
clarity	N	2-5	Lack of clarity on the part of the teacher will cause confusion among the students .	She dreamed , with great clarity , that she had been seen her own death .
time	N	1-3	this time he succeeded	he called four times
ensure	V	4-2	This nest egg will ensure a nice retirement for us	The circumstances ensured that he would arrive in time .
take	V	4-1	This box wo n't take all the items	We took an apartment on a quiet street
take	V	2-3	Can you take this bag , please	How should I take this message ?
connect	V	3-2	This computer will connect well to the network .	Our computers connected .
draw	V	0-2	draw the shades	The ship drew near the shore
judge	V	3-1	I can not judge some works of modern art	The judge pronounced often before , but never so widely press - attended .
play	V	0-1	play water from a hose	Pele played for the Brazilian teams in many important matches
point	N	6-5	he held me up at the point of a gun	The one with the most points will win the game
strike	V	0-0	strike a match	strike fire from the flintstone
break	N	5-5	he finally got his big break	it was presented without commercial breaks
break	V	0-2	break off the negotiations	Nobody can break out -- this prison is high security
trial	N	4-1	he had a fair trial and the jury found him guilty	the trials for the semifinals began yesterday
liver	N	20-5	You could fry up some chicken livers for a tasty treat . — Nah , I do n't like chicken liver .	I 'd like some goose liver pate .
extend	V	0-2	extend a loan	The facts extend beyond a consideration of her personal assets
play	N	5-3	the ball was still in play	he wrote several plays but only one was produced on Broadway
believe	V	11-8	When you hear his sermons , you will be able to believe , too	After that night in the church , I believed .
field	N	5-8	The design needs to be field - tested before we commit to manufacture .	anthropologists do much of their work in the field
stage	N	5-5	The band returned to the stage to play an encore .	he clambered up onto the stage and got the actors to help him into the box
vehicle	N	4-4	his editorials provided a vehicle for his political views	a congregation is a vehicle of group identity
degree	N	13-1	She has two bachelor 's degrees and is studying towards a master 's degree .	90 degrees Fahrenheit is equivalent to 32.2 degrees Celsius .
touch	N	5-9	this dish could use a touch of garlic	Suddenly , in the crowd , I felt a touch at my shoulder .
air	N	0-5	air pollution	her hand stopped in mid air
head	N	5-1	they say he gives good head	200 head of cattle and 50 head of horses
rest	V	4-0	The blame seems to rest with your father .	rest assured
dawn	V	3-5	It started to dawn , and we had to get up	The age of computers had dawned
take	V	5-4	I estimate the trip will take about ten minutes .	Tomorrow the doctor will take the cast off her arm .
break	V	0-5	break an alibi	The horse was tough to break
grave	N	3-4	from cradle to grave	he went to his grave without forgiving me
dig	V	0-0	dig salt	dig out a channel
come	V	3-1	Where did you come from ?	He came from France .
field	N	5-0	The design needs to be field - tested before we commit to manufacture .	Field of view
figure	N	4-4	He cut a sorry figure standing there in the rain .	he cut a fine figure
keep	V	0-2	keep count	I always keep batteries in the freezer
constriction	N	3-3	emotion caused a constriction of his throat	he felt a constriction in her chest
field	N	7-8	There were some cows grazing in a field .	A crop circle was made in a corn field .
unit	N	4-6	The centimetre is a unit of length .	the dollar is the United States unit of currency
cover	V	4-3	The grant does n't cover my salary	The second officer covered the top floor
get	V	3-0	She did n't get his name when they met the first time	get someone mad
make	V	1-1	They make a cute couple	She makes like an actress
run	N	7-3	the defensive line braced to stop the run	I have a run in my stocking .
beg	V	0-0	beg the question	beg the point in the discussion
work	V	4-2	He used pliers to work the wire into shape .	This pilot works the controls
leak	N	6-1	one of the tires developed a leak	The leaks by Chelsea Manning showed the secrets of the US military .
keep	V	0-2	keep food for a week in the pantry	I always keep batteries in the freezer
notice	N	6-1	you did n't give me enough notice	a notice of sale
wall	N	5-1	negotiations ran into a brick wall	the walls of the cylinder were perforated
give	V	0-1	give homage	She gave herself to many men
catch	V	2-0	do n't catch your meaning	Catch some sleep
floor	N	2-7	The pit floor showed where a ring of post holes had been .	Many sunken ships rest on the ocean floor .
mine	N	6-9	He came out of the coal mine with a face covered in black .	Most coal and ore comes from open - pit mines nowadays .
stop	N	2-9	his next stop is Atlanta	They agreed to see each other at the bus stop .
roughcast	V	1-0	To roughcast a wall or building	roughcast a wall
thought	N	2-1	19th century thought	Darwinian thought
break	V	0-4	break into tears	The lawn mower finally broke
blip	N	7-11	renewed jitters in the wake of a blip in retail sales	you ca n't react to the day - to - day blips
head	N	1-1	the head of a comet	the head of the list
line	N	4-1	they were arrayed in line of battle	the line of soldiers advanced with their bayonets fixed
soul	N	1-0	the soul of honor	soul was politically significant during the Civil Rights movement
play	V	3-1	On weekends I play	She played all her money on the dark horse
pick	V	0-0	pick up the tab	pick up the burden of high - interest mortgages
vaccinate	V	1-2	We vaccinate against scarlet fever	The nurse vaccinated the children in the school
scene	N	5-2	The crazy lady made a scene in the grocery store .	he painted scenes from everyday life
finish	N	10-6	when these final episodes are broadcast it will be the finish of the show	the market was up at the finish
missus	N	1-10	The missus has a list of chores for me to do this weekend .	Harry said he could n't stop and chat because his missus wanted to go shopping .
outfitter	N	1-11	an outfitter provided everything needed for the safari	Before his first walking holiday , he went to a specialist outfitter to buy some boots .
label	N	6-1	We laughed at her because the label was still on her new sweater .	The label says this silk scarf should not be washed in the washing machine .
make	V	0-2	make lead into gold	We barely made the plane
difference	N	1-6	the difference in her is amazing	It just wo n't make much difference to me .
arouse	V	1-1	To arouse anger	To arouse jealousy
sublime	V	2-0	some salts sublime when heated	sublime iodine
model	N	3-1	The computer weather model did not correctly predict the path of the hurricane .	a model of clarity
develop	V	0-2	develop a market for the new mobile phone	We must develop more potential customers
roll	V	0-2	roll out the paper	The drawer rolled open .
head	N	5-3	his horse won by a head	he is two heads taller than his little sister
vote	N	6-4	he failed to get the Black vote	American women got the vote in 1920
acknowledgment	N	11-4	she must have seen him but she gave no sign of acknowledgment	the preface contained an acknowledgment of those who had helped her
side	N	5-5	he was on the heavy side	he is on the purchasing side of the business
product	N	3-3	Skill is the product of hours of practice .    His reaction was the product of hunger and fatigue .	skill is the product of hours of practice
be	V	4-1	When will the meeting be ?	I am 75 kilograms .
cry	V	6-1	That sad movie always makes me cry .	She cried bitterly when she heard the news of his death
restraint	N	2-0	the unlawful restraint of trade	restraints imposed on imports
carry	V	2-1	You must carry your camping gear	Amanda carried the package from home to New York .
leave	V	3-1	She wants to leave	He left the Senate after two terms
orbit	N	3-13	in the political orbit of a world power	In the post WWII era , several eastern European countries came into the orbit of the Soviet Union .
coordinate	V	0-0	coordinate our efforts	coordinate the painters , masons , and plumbers
practice	V	2-1	You should practice playing piano every day .	Pianists practice scales
fall	V	0-0	fall into a trap	Fall in love
see	V	3-1	I want to see results	I saw the bet of one of my fellow players
raise	V	0-0	raise the price of bread	raise my salary
rack	V	0-0	rack one 's brains	rack a camera
feeling	N	4-5	he had a great feeling for music	The house gave me a feeling of dread .
turn	V	0-1	turn the earth in the Spring	She turned to her relatives for help
field	N	1-4	Oil field ;    gold field	he longed for the fields of his youth
hit	V	1-0	We hit Detroit by noon	hit a ball
rustle	V	0-4	rustle cattle	the dry leaves were rustling in the breeze
room	N	3-6	hardly enough elbow room to turn around	There was n't that much elbow room in the aircraft .
make	V	3-0	What do you make of his remarks ?	make a mistake
order	N	2-0	law and order	order ruled in the streets
slip	N	8-4	She could n't hurt a fly , young slip of a girl that she is .	he 's a mere slip of a lad
interest	N	2-4	in the interest of safety	Victorian furniture is an interest of mine .
memorability	N	1-6	true memorability of phrase	continuous change results in lack of memorability
discover	V	10-1	The story is false , so far as I can discover	I discovered what he should do .
ride	V	3-2	She loves to ride her new motorcycle through town	The cab rode him downtown .
channel	N	6-2	the ship went aground in the channel	The English Channel lies between France and England .
fatigue	N	1-5	metal fatigue	the soldiers were put on fatigue to teach them a lesson
office	N	5-3	during his first year in office	he rented an office in the new building
keep	V	0-1	keep your cool	he keeps bees
make	V	3-1	This invention will make you a millionaire	He made a fool of himself at the meeting
work	V	5-3	This old radio does n't work anymore	My personal trainer works me hard
strengthen	V	0-3	strengthen the relations between the two countries	This exercise will strengthen your upper body
give	V	0-3	give one 's opinion	The French doors give onto a terrace
take	V	2-0	Can you take this bag , please	Take the case of China
copy	N	3-4	she made a copy of the designer dress	the clone was a copy of its ancestor
block	N	1-7	A block of stone .	the pyramids were built with large stone blocks
dig	V	0-0	dig coal	dig salt
charge	V	2-3	Can I charge this purchase ?	The suspect was charged with murdering his wife
offer	V	0-1	offer resistance	He offered his sympathy
run	V	0-2	run rogue	the heifers run with the bulls to produce offspring
scene	N	3-5	The most moving scene is the final one , where he realizes he has wasted his whole life .	There were some very erotic scenes in the movie , although it was not classified as pornography .
model	N	4-1	he is the very model of a modern major general	a model of clarity
break	V	0-0	break down a proof	break an alibi
fall	V	0-2	fall prey to an imposter	The curtain fell on the diva
institution	N	1-1	the institution of marriage	the institution of slavery
keep	V	1-0	I keep my specimens under glass to protect them .	keep my job for me while I give birth
make	V	3-0	four and four make eight	make an estimate
run	V	2-1	Do n't run -- you'll be out of breath	She ran her fingers along the carved figurine
neighbour	N	1-2	My neighbour has an annoying cat .	They′re our neighbours across the street .
patch	N	6-3	The world economy had a rough patch in the 1930s .	Does n't that patch of clouds looks like a bunny ?
turn	V	0-0	turn the earth in the Spring	turn the heat down
come	V	2-1	These shoes come in three colors	He came through the door .
noise	N	21-10	whatever it was he did n't like it and he was going to let them know by making as loud a noise as he could	the announcement of the election recount caused a lot of noise
block	N	4-7	he held a large block of the company 's stock	the pyramids were built with large stone blocks
time	N	9-3	The judge leniently granted a sentence with no hard time .     He is not living at home because he is doing time .	he had a time holding back the tears
place	N	7-4	he put the lamp back in its place	he has a special place in my thoughts
work	V	0-2	work stone into tools	Can you work an electric drill ?
wealth	N	1-3	great wealth is not a sign of great intelligence	She brings a wealth of knowledge to the project .
take	V	3-1	I used to take The Sunday Times .	We took our seats in the orchestra
right	N	4-4	he writes with his right hand but pitches with his left	hit him with quick rights to the body
turn	V	0-2	turn the clay on the wheel	The people turned against the President when he stole the election
experience	N	3-4	he recalled the experience vividly	he had a religious experience
make	V	3-1	She may not make the grade	We made it !
hold	V	4-0	The auditorium ca n't hold more than 500 people	hold your breath
grain	N	1-1	a grain of sand	A grain of salt
get	V	3-3	What do you get when you add up these numbers ?	My children finally got me to buy a computer
multiplication	N	1-5	this multiplication of cells is a natural correlate of growth	repeated copying leads to a multiplication of errors
one	N	6-4	" driver " , noun : one who drives .	he is the best one
avoid	V	4-3	Her former friends now avoid her	I try to avoid the company of gamblers .
break	V	0-2	break a promise	The surf broke
effect	N	6-5	The new law will come into effect on the first day of next year .	the law is still in effect
play	N	5-1	the ball was still in play	the play of the imagination
apply	V	1-0	I apply this rule to get good results	Apply a magnetic field here
catch	V	6-0	We have a big barrel to catch the rainwater	Catch a show on Broadway
way	N	7-4	he said he was looking for the way out	Do you know the way to the airport ?
break	V	2-3	Nobody can break out -- this prison is high security	I had to break a $ 100 bill just to buy the candy
war	N	2-1	The " war on drugs " is a campaign against the use of narcotic drugs .	the war against crime
ball	N	1-6	the ball rolled into the corner pocket	the mayor threw out the first ball
break	V	6-4	This play will either make or break the playwright	The flat plain was broken by tall mesas
language	N	12-1	the speed with which a program can be executed depends on the language in which it is written	the language introduced is standard throughout the text
make	V	0-1	make advances	They make a cute couple
voice	N	3-1	the wee small voice of conscience	the voice of experience
suffer	V	17-1	I 've been suffering your insults for years ;    we hope you never have to suffer the same pain	He suffered the penalty
form	N	5-9	he filled out his tax form	To apply for the position , complete the application form .
krona	N	1-9	Papīra krona — paper krona ( i.e. , bills , banknotes )	Grāmata maksā piecas kronas — the book costs five krona
start	V	4-1	We simply could not start the engine	John started the party .
resistance	N	4-1	the enemy offered little resistance	The resistance of bacteria to certain antibiotics
baby	N	0-3	baby rabbits	When is your baby due ?
institution	N	4-1	he had become an institution in the theater	the institution of slavery
be	V	2-3	I shall be writing to you soon .	3 times 5 is fifteen .
put	V	2-1	The teacher put an interesting twist to the interpretation of the story	He put all his efforts into this job
space	N	5-5	they stopped at an open space in the jungle	it all happened in the space of 10 minutes
buy	V	5-1	I 'm not going to buy your stupid excuses anymore !	Carmen bought a dress from Diana .
cut	V	0-0	cut a dress	cut a Ping - Pong ball
complexion	N	3-3	a liberal political complexion	he altered the complexion of his times
play	N	1-4	the play lasted two hours	they made a futile play for power
scene	N	3-14	The most moving scene is the final one , where he realizes he has wasted his whole life .	The play is divided into three acts , and in total twenty - five scenes .
catch	V	2-8	do n't catch your meaning	I have to stop for a moment and catch my breath .
art	N	4-1	it 's quite an art	the art of conversation
well	V	1-2	Tears well in her eyes	the currents well up
make	V	3-1	She may not make the grade	I make the height about 100 feet
be	V	4-2	When will the meeting be ?	I shall be writing to you soon .
ribbon	N	2-2	the lighted ribbon of traffic	a mere ribbon of land
defense	N	1-5	in defense he said the other man started it	the artillery battered down the defenses
pay	V	0-0	pay a debt	pay an obligation
go	V	5-6	This chair has got to go .	How fast does your new car go ?
nose	N	4-6	he ducked under the nose of the gun	he has a cold in the nose
inactivation	N	1-2	thermal inactivation of serum samples	the gene inactivation system
smoke	N	5-3	his dreams all turned to smoke	it was just smoke and mirrors
flatten	V	14-0	As there was a lot of damage , we chose the heavy roller to flatten the pitch .	flatten a road
beginning	N	5-1	he was responsible for the beginning of negotiations	the beginning of the war
spell	V	2-1	the workers spell every four hours	To spell the helmsman
behave	V	10-5	His mother threatened to spank him if he did n't behave .	The children must learn to behave
carry	V	4-4	I resent having to carry her all the time	The painting of Mary carries motherly love
drink	N	2-5	likes a drink before dinner	Can I buy you a drink ?
patter	N	1-1	the patter of mice	the patter of tiny feet
origin	N	4-0	the rumor had its origin in idle gossip	origin in sensation
foot	N	4-2	armored from head to foot	his bare feet projected from his trousers
leak	N	1-1	A leak in a gas pipe	A leak in a roof
connect	V	4-2	The new railroad will connect the northern part of the state to the southern part .	Our computers connected .
flatten	V	0-14	flatten a road	As there was a lot of damage , we chose the heavy roller to flatten the pitch .
deference	N	1-1	his deference to her wishes was very flattering	in deference to your wishes
draw	V	10-3	At the start of their turn , each player must draw a card .	The session was drawn to a close
love	N	5-5	he has a very complicated love life	he had n't had any love in months
pain	N	5-10	Your mother is a right pain .	as the intensity increased the sensation changed from tickle to pain
scrambler	N	5-0	their quarterback was a good scrambler	scramblers can often unnerve a better tennis player
mean	V	1-1	I mean no harm	I mean to go to Baddeck this summer .
see	V	3-3	How nice to see you again !	We had to see a psychiatrist
catch	V	3-11	I have to catch a train at 7 o'clock	I have some free time tonight so I think I 'll catch a movie .
touch	V	3-8	She did n't touch her food all night	Are you all right ? You 've hardly touched your lunch .
production	N	2-1	Shakespeare 's production of poetry was enormous	the production of white blood cells
carry	V	1-2	I carry a lot of life insurance	I am carrying his child
run	V	0-1	run a new program on the Mac	They ran twenty blood tests on me and they still do n't know what 's wrong .
baby	N	3-0	When is your baby due ?	baby rabbits
collision	N	6-1	three passengers were killed in the collision	the collision of the two ships resulted in a serious oil spill
lunchtime	N	3-4	It 's almost lunchtime , so I think I 'll finish up later this afternoon .	he observed a regular lunchtime
fall	V	4-3	The line of men fall forward	The cabin pressure fell dramatically
set	N	2-2	the smart set goes there	The country set
trace	V	0-0	trace a design	trace a pattern
tell	V	3-2	I want to tell a story ;    I want to tell you a story .	The father told a story to his child
fish	N	16-7	after the scare about foot - and - mouth disease a lot of people started eating fish instead of meat	they have a chef who specializes in fish
make	V	0-1	make a cake	He made twenty bucks playing poker last night .
field	N	10-8	There are several species of wild flowers growing in this field .	This racehorse is the strongest in a weak field .
case	N	2-7	The accusative case canonically indicates a direct object .    Latin has six cases , and remnants of a seventh .	The teaching consists of theory lessons and case studies .
cot	N	2-1	A roller cot ( the clothing of a drawing roller in a spinning frame )	A cot for a sore finger
cut	V	3-0	Would you please cut the cake ?	cut a dress
ream	V	0-2	ream oranges	the dentist reamed out the debris in the course of the root canal treatment
door	N	3-3	education is the door to success	we closed the door to Haitian immigrants
stay	N	4-4	they had a nice stay in Paris	a four - month stay in bankruptcy court
texture	N	7-5	The beans had a grainy , gritty texture in her mouth .	the wall had a smooth texture
head	N	1-1	200 head of cattle and 50 head of horses	200 head of cattle
nick	N	9-7	He was arrested and taken down to Sun Hill nick police station to be charged .	He 's just been released from Shadwell nick prison after doing ten years for attempted murder .
office	N	4-3	An executive or judical office ; a municipal office	he rented an office in the new building
follow	V	1-1	Teenagers follow their friends in everything	Carter followed Ford
channel	N	1-1	The channel is created by bonding the signals from these four pairs .	a channel is typically what you rent from a telephone company
voice	N	3-1	the wee small voice of conscience	the voice of the law
cut	V	2-1	The coach cut two players from the team	We cut through the neighbor 's yard to get home sooner
shift	V	3-1	you have to shift when you go down a steep hill	He shifted in his seat
break	V	2-2	Kids were break - dancing at the street corner	a man broken by the terrible experience of near - death
run	V	6-0	My computer is too old to run the new OS .	run a temperature
costume	N	6-3	he won the prize for best costume	We wore gorilla costumes to the party .
break	V	0-5	break a law	I ca n't believe she broke 3 under par !
carry	V	1-6	To carry an account to the ledger	How many credits is this student carrying ?
clear	V	0-0	clear the leaves from the lawn	Clear snow from the road
break	V	0-8	break a promise	My daughter 's fancy wedding is going to break me !
stick	N	6-1	The recipe calls for half a stick of butter .	A stick of wood
game	N	7-0	you need four people to play this game	Games in the classroom can make learning fun .
heart	N	2-5	in your heart you know it is true	you have n't got the heart for baseball
cover	V	0-1	cover the grave with flowers	She covered herself with glory
hold	V	0-0	hold in place	hold these truths to be self - evident
weakness	N	1-3	his weakness increased as he became older	he has a weakness for chocolate
resistance	N	1-4	The resistance of bacteria to certain antibiotics	the enemy offered little resistance
line	N	4-3	he got out of line	He drew a line on the chart
break	V	2-6	Let 's break for lunch .	This play will either make or break the playwright
apology	N	10-5	What he said really hurt my feelings , but his apology sounded so sincere that I could n't help but forgive him .	The CEO made a public apology for the scandal , and promised full cooperation with the authorities .
advance	V	2-1	Can you advance me some money ?	To advance one 's interests
block	N	4-13	he held a large block of the company 's stock	since blocks are often defined as a single sector , the terms ` block ' and ` sector ' are sometimes used interchangeably
run	V	0-2	run riot	The speech runs as follows : …
sense	N	1-1	a sense of happiness	a sense of self
hegemony	N	7-1	the consolidation of the United States ' hegemony over a new international economic system	the hegemony of a single member state is not incompatible with a genuine confederation
pay	V	2-2	You 'll pay for this !	You 'll pay for this opinion later
head	N	6-6	At five years of age this head of cattle is worth perhaps $ 40	they tracked him back toward the head of the stream
carry	V	1-4	I carry these thoughts in the back of my head	The painting of Mary carries motherly love
identity	N	2-2	A left identity if I * x = x for any x in the structure	Simply an identity element if both are true
keep	V	8-3	There 's little to earn and many to keep	Where do you keep your gardening tools ?
point	N	2-4	at that point I had to leave	To fall off a point
civilization	N	7-2	he is remembered for his generosity and civilization	early Mayan civilization
raise	V	0-0	raise Cain	raise hell
world	N	1-2	the world of insects	the outdoor world
connect	V	4-2	Operator , could you connect me to the Raffles in Singapore ?	These computers connected well .
run	N	3-4	Nicklaus had a run of birdies	the Yankees scored 3 runs in the bottom of the 9th
cut	V	1-0	She cut all of her major titles again	cut the songs
cover	V	0-2	cover your head !	The period covered the turn of the century
cut	N	3-4	I like the cut of that suit .	a dress of traditional cut
stand	V	2-1	Here I stand , wondering what to do next .	There stood on the corner a statue .
product	N	4-3	his reaction was the product of hunger and fatigue	skill is the product of hours of practice
reaction	N	9-2	You were in the courtroom . What is your reaction ?	a bad reaction to the medicine
face	V	0-1	face the lapels of the jacket	To face the front of a coat , or the bottom of a dress
leak	N	1-1	A leak in a roof	A leak in a gas pipe
finish	N	5-3	the boat had a metallic finish	The car 's finish was so shiny and new .
place	N	5-4	If you were in my place what would you do ?	He comes from a place near Chicago
charge	V	5-4	Will you pay cash or charge the purchase ?	How much do you charge for lunch ?
run	V	6-2	If you see this man , run !	These dresses run small
turn	V	0-0	turn the car around	turn the heat down
light	N	4-7	do you have a light ?	Hey , buddy , you got a light ?
point	N	4-3	life has lost its point	get to the point
see	V	3-2	the doctor will see you now	You 'll see a lot of cheating in this school
head	N	3-6	he stuck his head out the window	they tracked him back toward the head of the stream
carry	V	2-2	These pipes carry waste water into the river	You must carry your camping gear
set	V	3-0	The film is set in Africa	Set the tray down
make	V	0-0	make advances	make a decision
remember	V	1-3	I remember the concert clearly , but I ca n't recollect why I was there .	I ca n't remember saying any such thing
hold	V	0-1	hold one 's nose	I hold with those who say life is sacred
extend	V	2-2	The facts extend beyond a consideration of her personal assets	My memory extends back to my fourth year of life
beat	V	0-0	beat the cream	beat the egg whites
art	N	3-4	How great thou art !	it 's quite an art
fall	V	0-1	fall asleep	She fell ill
fear	V	1-1	I fear the worst will happen .	I fear for their safety .
institution	N	1-4	the institution of marriage	he had become an institution in the theater
save	V	2-3	I 'll save you the trouble	This move will save money
action	N	2-2	A rifle action	the Union action of emancipating Southern slaves
top	V	0-0	top the evening with champagne	Top and tail the carrots .
pull	V	0-0	pull the oars	pull the ball
like	V	1-1	I like jogging	She likes to read Russian novels
narrowness	N	7-3	the problem with achievement tests is the narrowness they impose on students	frustrated by the narrowness of people 's horizons
art	N	1-4	the art of conversation	it 's quite an art
war	N	0-2	war was declared in November but actual fighting did not begin until the following spring	The " war on terror " is a campaign against terrorist crime .
cut	N	4-3	The lawyer took a cut of the profits .	everyone got a cut of the earnings
audience	N	4-7	every artist needs an audience	he saw that he had lost his audience
check	V	8-2	Katie 's sick , so I need to check up on her and see if she needs anything .	I will check up on the car tomorrow .
be	V	2-1	I shall be writing to you soon .	It is hot in Arizona , but it is not usually humid .
fire	N	3-4	he went through fire and damnation	they sat by the fire and talked
position	N	9-1	Stop running all over the field and play your position !	what position does he play ?
line	V	0-1	line one 's pockets	To line the shelves
set	V	1-1	To set a precious stone in a border of metal	To set glass in a sash
be	V	2-4	I shall be writing to you soon .	When will the meeting be ?
mercury	N	1-1	the mercury was falling rapidly	The mercury there has averaged 37.6C , 2.3C above the February norm .
head	N	5-1	the beer had a large head of foam	The head of the compass needle is pointing due north .
skeleton	N	5-4	the battalion was a mere skeleton of its former self	there must be a skeleton somewhere in that family 's closet
break	V	6-3	This play will either make or break the playwright	I had to break a $ 100 bill just to buy the candy
wash	V	9-2	The car is so dirty , we need to wash it .	The nurse washed away the blood
take	V	0-2	take vengeance	I 'll take a pound of that sausage
sale	N	5-8	They are having a clearance sale : 50 % off .	I got some great bargains at their annual sale
tension	N	3-3	there is a tension between these approaches to understanding history	there is a tension created between narrative time and movie time
stretch	V	0-3	stretch out that piece of cloth	The rubber band stretched almost to the breaking point .
order	N	6-5	the machine is now in working order	he put his desk in order
